Feature,UK_Global_SHAP_%,UK_Global_Rank,Fatal_Importance_%,Fatal_Rank,Serious_Importance_%,Serious_Rank,UK_Stable_SHAP_%,UK_SHAP_SD,UK_Stable_Rank,Evidence_Context_UK,Feature_Group,Ethiopia_Global_SHAP_%,Ethiopia_Global_Rank,Ethiopia_Fatal_SHAP_%,Ethiopia_Fatal_Rank,Ethiopia_Serious_SHAP_%,Ethiopia_Serious_Rank,Ethiopia_Stable_SHAP_%,Ethiopia_SHAP_SD,Ethiopia_Stable_Rank,Evidence_Context_ETH,JS_UK_France,JS_UK_Ethiopia,JS_France_Ethiopia,Mean_JS,Factor_Domain,Modifiability,Fatal_Relevance,Severity_Score,UK_SHAP_CV,Ethiopia_SHAP_CV,Mean_SHAP_CV,Stability_Score,Actionability_Score,CrossCountry_Score,Priority_Score,Priority_Score_100,Priority_Level,Eligible_for_Intervention
Driving_experience,,,,,,,,,,,Driver,6.122055855748403,6,6.634699359272497,5,5.993561579452653,6,6.023457519928345,0.1749096828546455,6.0,Ethiopia,,,,,Driver,Partly modifiable,6.634699359272497,0.2883398243925466,,0.02903808689211545,0.02903808689211545,0.9717813293190967,0.75,0.5,0.6063642708671655,60.6,Priority II — Targeted,Yes
Cause_of_accident,,,,,,,,,,,Accident/Environment,4.848525610469091,9,4.949390062436971,9,5.340711366951332,9,4.805937933349481,0.1808821493046615,9.2,Ethiopia,,,,,Crash/Behavioral,Potentially modifiable,4.949390062436971,0.21509735169217606,,0.03763722124863072,0.03763722124863072,0.9637279576350005,0.85,0.5,0.6037160625010117,60.4,Priority II — Targeted,Yes
Road_surface_type,,,,,,,,,,,Accident/Environment,1.793776326978851,18,2.002282750102769,18,1.6277391867751778,19,1.716095245652454,0.0577114312696963,18.6,Ethiopia,,,,,Road/Infrastructure,Directly modifiable,2.002282750102769,0.08701793785757361,,0.03362950361636518,0.03362950361636518,0.9674646442475708,1.0,0.5,0.5973224393120434,59.7,Priority II — Targeted,Yes
Road_allignment,,,,,,,,,,,Accident/Environment,1.6793119284874165,19,1.85983188814076,20,1.222758158503442,20,1.635840981192287,0.0559302717180003,19.4,Ethiopia,,,,,Road/Infrastructure,Directly modifiable,1.85983188814076,0.0808271137827362,,0.03419053096300068,0.03419053096300068,0.9669398143385014,1.0,0.5,0.595024443408583,59.5,Priority II — Targeted,Yes
has_heavy_vehicle,3.02,10.0,3.32,10.0,3.28,10.0,3.659461819758134,0.2896694048942988,10.0,UK,Accident/Environment,0.7818628900408601,21,0.7595481567740149,21,0.7878256131376971,21,0.7956854498889694,0.0287977090506215,21.0,Ethiopia,0.0193,0.2693,0.252,0.1802,Vehicle/Collision,Indirectly modifiable,3.32,0.1442850934376358,0.07915628558557937,0.03619232833105086,0.057674306958315116,0.9454706363018534,0.6,1.0,0.5868674417786359,58.7,Priority II — Targeted,Yes
vehicle_category,,,,,,,,,,,Accident/Environment,5.109863654864517,8,5.262306018638358,8,3.6264240507462007,12,4.84211936238826,0.0674457443142595,8.8,Ethiopia,,,,,Vehicle/Collision,Indirectly modifiable,5.262306018638358,0.22869648060140624,,0.01392897185438103,0.01392897185438103,0.9862623790807493,0.6,0.5,0.5516093629806794,55.2,Priority II — Targeted,Yes
Age_band_of_driver,,,,,,,,,,,Driver,7.424754425195114,3,7.927675805455057,2,4.268316894428752,10,7.051709360399127,0.3144895293330148,4.4,Ethiopia,,,,,Driver,Not modifiable — targetable,7.927675805455057,0.3445317603413758,,0.0445976306254367,0.0445976306254367,0.9573064026588548,0.45,0.5,0.5474127167841952,54.7,Priority II — Targeted,Yes
has_public_transport,0.57,11.0,0.6,11.0,0.82,11.0,0.6173471064269588,0.0644122394626148,11.0,UK,Accident/Environment,0.4250243128354018,22,0.4046848549872351,22,0.5378437220535731,22,0.4056024019656979,0.0057837938315111,22.0,Ethiopia,0.0419,0.1631,0.2008,0.1353,Vehicle/Collision,Indirectly modifiable,0.6,0.026075619295958277,0.1043371529436912,0.014259762278232859,0.05929845761096203,0.9440210101459998,0.6,1.0,0.5451317192900853,54.5,Priority II — Targeted,Yes
Type_of_collision,,,,,,,,,,,Accident/Environment,4.054766393060287,13,2.73922787550521,13,5.579542273964144,8,4.170996681868269,0.0993349342712536,12.8,Ethiopia,,,,,Vehicle/Collision,Indirectly modifiable,2.73922787550521,0.11904510541091742,,0.023815634930392605,0.023815634930392605,0.9767383558935279,0.6,0.5,0.510850375867203,51.1,Priority II — Targeted,Yes
Vehicle_driver_relation,,,,,,,,,,,Driver,2.6092188336095066,14,2.735810066173979,14,2.401645589068854,16,2.44709310138429,0.0882444008507229,14.2,Ethiopia,,,,,Driver,Indirectly modifiable,2.735810066173979,0.11889656958600517,,0.03606090867601406,0.03606090867601406,0.9651942193996139,0.6,0.5,0.5079123542050052,50.8,Priority II — Targeted,Yes
Educational_level,,,,,,,,,,,Driver,2.3508291319531933,15,2.3425899697037806,16,3.321852748828541,13,2.288411209821528,0.0431822470293179,15.4,Ethiopia,,,,,Driver,Indirectly modifiable,2.3425899697037806,0.10180747369421037,,0.01886996831862472,0.01886996831862472,0.9814795126901575,0.6,0.5,0.506002493965513,50.6,Priority II — Targeted,Yes
Vehicle_movement,,,,,,,,,,,Accident/Environment,2.272062370711448,17,2.269436547439584,17,2.620379885243368,15,2.254732687771948,0.0868708238190328,16.2,Ethiopia,,,,,Vehicle/Collision,Indirectly modifiable,2.269436547439584,0.09862827237894758,,0.038528214138269165,0.038528214138269165,0.9629011387329149,0.6,0.5,0.5002451800158604,50.0,Priority II — Targeted,Yes
Drivers_gender,,,,,,,,,,,Driver,1.658176281526181,20,1.8742123876734051,19,1.6709567856792438,18,1.6527615605094514,0.0810074015373848,19.0,Ethiopia,,,,,Driver,Not modifiable — targetable,1.8742123876734051,0.08145208116790113,,0.04901336252787418,0.04901336252787418,0.953276703349361,0.45,0.5,0.4543274042461056,45.4,Priority II — Targeted,Yes
Number_of_casualties,,,,,,,,,,,Accident/Environment,7.117140887328224,5,7.900476786161509,3,8.995842835559955,3,7.274035771383699,0.433412365835989,4.2,Ethiopia,,,,,Crash Consequence,Outcome-related,7.900476786161509,0.3433497082208391,,0.059583480128190716,0.059583480128190716,0.9437670733400051,0.0,0.5,0.431114166212295,43.1,Priority III — Monitoring,No
