Feature,Mean_Abs_SHAP,Importance_Percent,Feature_Group,Rank,Seed
weather_common,0.05285735150529625,4.64818849504649,Accident/Environment,10.0,55
light_common,0.05131735389506757,4.512763639838851,Accident/Environment,11.0,55
surface_common,0.025684269759158402,2.2586324096512533,Accident/Environment,17.0,55
junction_common,0.05507642846749234,4.843330470789809,Accident/Environment,9.0,55
vehicle_category,0.05619917465117989,4.942062922289027,Accident/Environment,8.0,55
vehicle_count,0.1034750021990177,9.099421386979472,Accident/Environment,2.0,55
has_motorcycle,0.0014988861549760978,0.13180958149683816,Accident/Environment,23.0,55
has_heavy_vehicle,0.008597815062578753,0.7560777057172757,Accident/Environment,21.0,55
has_public_transport,0.0045989937155738935,0.4044279380017694,Accident/Environment,22.0,55
has_two_wheeler,0.0,0.0,Accident/Environment,24.0,55
Type_of_collision,0.0461722108326756,4.0603082271687265,Accident/Environment,13.0,55
Number_of_casualties,0.0894109123293175,7.862648471501668,Accident/Environment,3.0,55
Road_surface_type,0.020492539012218182,1.8020801526792287,Accident/Environment,18.0,55
Road_allignment,0.017510441208873684,1.539839379998433,Accident/Environment,20.0,55
Area_accident_occured,0.16470646347709622,14.484015312748364,Accident/Environment,1.0,55
Vehicle_movement,0.026247440042129012,2.3081566774306137,Accident/Environment,16.0,55
Cause_of_accident,0.05111968996434376,4.4953813991001335,Accident/Environment,12.0,55
Age_band_of_driver,0.07702366397656894,6.773334239161439,Driver,5.0,55
Drivers_gender,0.017621166360202965,1.5495763675671248,Driver,19.0,55
Educational_level,0.026374085292033774,2.3192936522656207,Driver,15.0,55
Driving_experience,0.06633671613291967,5.833541635117798,Driver,6.0,55
Vehicle_driver_relation,0.026918368913210623,2.367157058091828,Driver,14.0,55
